"","Player","X.x","Year","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X.y","height","weight","collage","born","birth_city","birth_state","X","Team","Salary","conference"
"397","Rondae Hollis-Jefferson",24340,2017,"SF",22,"BRK",78,50,1761,13.7,0.517,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,0.07,-2.9,1.9,-1,0.4,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.751,96,356,452,154,82,44,116,177,675,3783,201,99,"University of Arizona",1995,"Chester","Pennsylvania",381,"BRK",1471382,TRUE
"398","Salah Mejri",24460,2017,"C",30,"DAL",73,11,905,14.8,0.65,0.022,0.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6,1.3,1.7,3,0.159,-3.6,3.8,0.2,0.5,88,137,0.642,1,3,0.333,87,134,0.649,0.646,36,61,0.59,97,211,308,14,32,61,40,152,213,3801,216,111,"",1986,"Jendouba","Tunisia",397,"DAL",1471382,FALSE
"399","T.J. McConnell",24444,2017,"PG",24,"PHI",81,51,2133,13.7,0.504,0.107,0.176,2,11,6.5,37.5,3.1,0.4,22.4,14.4,1.4,2.4,3.8,0.084,-2,0.1,-1.9,0,236,512,0.461,11,55,0.2,225,457,0.492,0.472,73,90,0.811,39,212,251,534,134,10,159,139,556,3798,208,108,"",1994,"","",390,"PHI",1471382,TRUE
"400","Troy Williams",24672,2017,"SF",22,"TOT",30,16,557,8.9,0.511,0.371,0.192,3,11.2,7,7,2.5,1.7,15.4,17.2,-0.4,0.7,0.3,0.03,-3.4,0.7,-2.7,-0.1,73,167,0.437,18,62,0.29,55,105,0.524,0.491,21,32,0.656,15,54,69,25,27,10,33,60,185,3917,198,97,"South Carolina State University",1969,"Columbia","South Carolina",385,"HOU",1471382,FALSE
"401","Troy Williams",24673,2017,"SF",22,"MEM",24,13,418,7.6,0.474,0.333,0.203,1.6,11,6.2,7.2,3,2.1,16.8,17.5,-0.6,0.6,0,0.001,-4.7,1.6,-3.1,-0.1,51,123,0.415,10,41,0.244,41,82,0.5,0.455,15,25,0.6,6,39,45,19,24,9,27,42,127,3917,198,97,"South Carolina State University",1969,"Columbia","South Carolina",385,"HOU",1471382,FALSE
"402","Troy Williams",24674,2017,"SF",22,"HOU",6,3,139,12.8,0.616,0.477,0.159,7.1,11.8,9.4,6.4,1,0.6,11.3,16.2,0.2,0.1,0.3,0.116,0.4,-2.1,-1.7,0,22,44,0.5,8,21,0.381,14,23,0.609,0.591,6,7,0.857,9,15,24,6,3,1,6,18,58,3917,198,97,"South Carolina State University",1969,"Columbia","South Carolina",385,"HOU",1471382,FALSE
"403","Tyus Jones",24388,2017,"PG",20,"MIN",60,0,774,13.8,0.523,0.403,0.238,1.5,8.7,5,28,3.1,0.6,16,13.6,1,0.6,1.5,0.095,-0.4,-1.5,-1.9,0,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,47,5,38,50,209,3791,188,88,"Duke University",1996,"Burnsville","Minnesota",382,"MIN",1471382,FALSE
"404","Willy Hernangomez",24325,2017,"C",22,"NYK",72,22,1324,18.9,0.564,0.032,0.269,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,0.123,-0.6,0.6,0,0.7,246,465,0.529,4,15,0.267,242,450,0.538,0.533,91,125,0.728,170,332,502,96,41,36,100,150,587,3866,211,108,"",1994,"Madrid","Spain",400,"CHO",1435750,TRUE
"405","Timothe Luwawu-Cabarrot",24431,2017,"SF",21,"PHI",69,19,1190,8.5,0.536,0.446,0.341,2.3,11.5,6.9,9.6,1.3,0.7,15,17.8,0,0.8,0.8,0.034,-2.8,-1.2,-4,-0.6,145,361,0.402,50,161,0.311,95,200,0.475,0.471,105,123,0.854,25,124,149,75,32,10,73,154,445,3881,198,92,"",1995,"Cannes","France",405,"PHI",1386600,TRUE
"406","A.J. Hammons",24304,2017,"C",24,"DAL",22,0,163,8.4,0.472,0.238,0.476,5.4,20.9,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-7.5,1.9,-5.6,-0.1,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48,3863,198,99,"",1993,"","",411,"MIA",1312611,FALSE
"407","Andrew Harrison",24316,2017,"PG",22,"MEM",72,18,1474,8.7,0.477,0.433,0.539,1.7,9,5.3,20,1.9,1.3,16,16.4,0,1.5,1.6,0.051,-2.4,0,-2.5,-0.2,117,360,0.325,43,156,0.276,74,204,0.363,0.385,148,194,0.763,23,113,136,198,54,20,85,194,425,3864,198,96,"University of Kentucky",1994,"San Antonio","Texas",425,"MEM",1312611,FALSE
"408","Bryn Forbes",24263,2017,"SG",23,"SAS",36,0,285,5.9,0.462,0.535,0.061,0.8,8.2,4.6,11.7,0.2,0,9.8,17.9,-0.2,0.2,0.1,0.014,-3.2,-2.8,-6,-0.3,36,99,0.364,17,53,0.321,19,46,0.413,0.449,5,6,0.833,2,21,23,23,1,0,11,20,94,3857,190,86,"Michigan State University",1993,"Lansing","Michigan",419,"SAS",1312611,FALSE
"409","Chasson Randle",24547,2017,"PG",23,"PHI",8,0,74,17.7,0.671,0.577,0.462,0,7.5,3.7,13.2,2,1.1,8.8,20.1,0.2,0.1,0.3,0.197,2.6,-2.7,-0.1,0,12,26,0.462,6,15,0.4,6,11,0.545,0.577,12,12,1,0,5,5,6,3,1,3,11,42,3899,188,83,"Stanford University",1993,"Rock Island","Illinois",442,"NYK",1312611,TRUE
"410","Chasson Randle",24546,2017,"PG",23,"TOT",26,0,299,13.6,0.586,0.48,0.439,2.2,9.4,5.8,16.8,1.5,0.5,14,19.7,0.5,0.1,0.7,0.106,0.3,-2.9,-2.6,0,40,98,0.408,16,47,0.34,24,51,0.471,0.49,41,43,0.953,6,26,32,34,9,2,19,39,137,3899,188,83,"Stanford University",1993,"Rock Island","Illinois",442,"NYK",1312611,FALSE
"411","Chasson Randle",24548,2017,"PG",23,"NYK",18,0,225,12.3,0.555,0.444,0.431,2.9,10.1,6.5,18,1.3,0.4,15.7,19.6,0.3,0.1,0.4,0.075,-0.5,-3,-3.4,-0.1,28,72,0.389,10,32,0.313,18,40,0.45,0.458,29,31,0.935,6,21,27,28,6,1,16,28,95,3899,188,83,"Stanford University",1993,"Rock Island","Illinois",442,"NYK",1312611,TRUE
"412","David Nwaba",24503,2017,"SG",24,"LAL",20,2,397,12.1,0.611,0.062,0.481,4.3,13.1,8.5,5,1.6,1.4,10.1,11.8,0.6,0.2,0.7,0.09,-1.7,-0.3,-2,0,47,81,0.58,1,5,0.2,46,76,0.605,0.586,25,39,0.641,16,46,62,14,13,7,11,36,120,3890,193,94,"California Polytechnic State University, San Luis Obispo",1993,"Los Angeles","California",431,"CHI",1312611,FALSE
"413","Davis Bertans",24145,2017,"PF",24,"SAS",67,6,808,12.9,0.609,0.739,0.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,1.2,0.5,1.7,0.8,103,234,0.44,69,173,0.399,34,61,0.557,0.588,28,34,0.824,22,77,99,46,20,28,32,75,303,3840,208,95,"",1992,"Valmiera","Latvia",418,"SAS",1312611,FALSE
"414","Dejounte Murray",24480,2017,"PG",20,"SAS",38,8,322,9.6,0.503,0.198,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0,0.004,-4.6,-0.2,-4.8,-0.2,50,116,0.431,9,23,0.391,41,93,0.441,0.47,21,30,0.7,6,36,42,48,8,6,38,29,130,3886,196,77,"University of Washington",1996,"Seattle","Washington",409,"SAS",1312611,FALSE
"415","Derrick Jones",24383,2017,"SF",19,"PHO",32,8,545,12,0.604,0.091,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,0.098,-0.5,-0.5,-1.1,0.1,68,121,0.562,3,11,0.273,65,110,0.591,0.574,29,41,0.707,39,40,79,12,14,13,13,63,168,3874,203,100,"University of Miami",1990,"Stone Mountain","Georgia",441,"PHO",1312611,FALSE
"416","Dorian Finney-Smith",24262,2017,"PF",23,"DAL",81,35,1642,7.7,0.486,0.574,0.183,3.7,12.3,7.8,6,1.6,1.4,11.1,11.6,-0.1,1.5,1.4,0.041,-2.8,1.3,-1.5,0.2,124,333,0.372,56,191,0.293,68,142,0.479,0.456,46,61,0.754,55,166,221,67,52,25,45,125,350,3856,203,99,"University of Florida",1993,"Portsmouth","Virginia",428,"DAL",1312611,FALSE
"417","Fred VanVleet",24636,2017,"PG",22,"TOR",37,0,294,10.5,0.443,0.261,0.198,1.5,14.6,8.1,17.5,2.9,0.6,11.1,20.6,-0.1,0.4,0.3,0.041,-3.1,-0.1,-3.2,-0.1,39,111,0.351,11,29,0.379,28,82,0.341,0.401,18,22,0.818,4,38,42,35,17,2,15,36,107,3913,183,88,"Wichita State University",1994,"Rockford","Illinois",440,"TOR",1312611,TRUE
"418","Isaiah Taylor",24607,2017,"PG",22,"HOU",4,0,52,0.3,0.19,0.286,0.286,2.1,4.2,3.1,7.1,0.9,1.6,0,6.4,-0.1,0,0,-0.028,-6.4,-0.1,-6.6,-0.1,1,7,0.143,0,2,0,1,5,0.2,0.143,1,2,0.5,1,2,3,3,1,1,0,6,3,3908,190,77,"University of Texas at Austin",1994,"Hayward","California",438,"ATL",1312611,FALSE
"419","Isaiah Whitehead",24656,2017,"PG",21,"BRK",73,26,1643,7.5,0.487,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2,204,508,0.402,44,149,0.295,160,359,0.446,0.445,91,113,0.805,32,152,184,192,42,36,142,175,543,3916,193,96,"Seton Hall University",1995,"Brooklyn","New York",433,"BRK",1312611,TRUE
"420","Ivica Zubac",24690,2017,"C",19,"LAL",38,11,609,17,0.547,0.013,0.206,7.1,21.9,14.3,8.1,1.1,4.4,10.4,20.3,0.6,0.5,1.1,0.086,-2.7,0.3,-2.5,-0.1,126,238,0.529,0,3,0,126,235,0.536,0.529,32,49,0.653,41,118,159,30,14,33,30,66,284,3921,216,120,"",1997,"Mostar","Bosnia and Herzegovina",426,"LAL",1312611,FALSE
"421","Jake Layman",24410,2017,"SF",22,"POR",35,1,249,4.9,0.404,0.573,0.191,2.7,8,5.3,6.2,1.8,1,10.2,19,-0.4,0.1,-0.3,-0.054,-4.7,-2.7,-7.4,-0.3,26,89,0.292,13,51,0.255,13,38,0.342,0.365,13,17,0.765,6,18,24,11,9,3,11,22,78,3878,206,95,"University of Maryland",1994,"Norwood","Massachusetts",420,"POR",1312611,FALSE
"422","Joel Bolomboy",24157,2017,"PF",23,"UTA",12,0,53,19.7,0.59,0.25,0.375,9,27.6,18.5,6.3,1,3.1,9.7,18.2,0.1,0.1,0.2,0.171,-1.3,0.5,-0.8,0,9,16,0.563,1,4,0.25,8,12,0.667,0.594,3,6,0.5,4,13,17,2,1,2,2,1,22,3841,206,106,"Weber State University",1994,"Kiev","Ukraine",417,"UTA",1312611,FALSE
"423","Kay Felder",24256,2017,"PG",21,"CLE",42,0,386,11.2,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.7,24.3,-0.3,0.4,0,0.004,-4.9,-1.2,-6.1,-0.4,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.714,3,38,41,58,18,7,31,38,166,3854,175,79,"Oakland University",1995,"Detroit","Michigan",439,"CHI",1312611,TRUE
"424","Malcolm Brogdon",24164,2017,"SG",24,"MIL",75,28,1982,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.6,-1.1,-0.5,0.8,290,635,0.457,78,193,0.404,212,442,0.48,0.518,109,126,0.865,47,166,213,317,84,12,113,140,767,3842,196,97,"University of Virginia",1992,"Atlanta","Georgia",423,"MIL",1312611,TRUE
"425","Marcus Georges-Hunt",24279,2017,"SG",22,"ORL",5,0,48,10.2,0.614,0.286,1.429,2.2,18.7,10.2,8.3,1,0,14.9,12.3,0.1,0,0.1,0.107,-3.4,-1.3,-4.7,0,2,7,0.286,1,2,0.5,1,5,0.2,0.357,9,10,0.9,1,8,9,3,1,0,2,5,14,3860,196,97,"Georgia Institute of Technology",1994,"Miami","Florida",422,"MIN",1312611,TRUE
"426","Nicolas Brussino",24171,2017,"SF",23,"DAL",54,2,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0,0.6,0.6,0.055,-1.7,0.7,-1,0.1,52,141,0.369,29,95,0.305,23,46,0.5,0.472,17,22,0.773,26,69,95,47,17,8,26,43,150,3844,201,88,"",1993,"Santa Fe","Argentina",436,"ATL",1312611,FALSE
"427","Okaro White",24655,2017,"PF",24,"MIA",35,0,471,7.5,0.507,0.391,0.253,5.8,13.5,9.6,6,1.1,1.7,15.7,10.8,0.1,0.5,0.6,0.066,-3.1,0.9,-2.1,0,33,87,0.379,12,34,0.353,21,53,0.396,0.448,20,22,0.909,25,57,82,21,10,10,18,52,98,3915,203,92,"Florida State University",1992,"Clearwater","Florida",435,"ATL",1312611,TRUE
"428","Pascal Siakam",24585,2017,"PF",22,"TOR",55,38,859,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.089,-3,1.8,-1.1,0.2,103,205,0.502,1,7,0.143,102,198,0.515,0.505,22,32,0.688,64,121,185,17,26,45,33,109,229,3905,206,104,"New Mexico State University",1994,"Douala","Cameroon",408,"TOR",1312611,TRUE
"429","Patrick McCaw",24441,2017,"SG",21,"GSW",71,20,1074,8.6,0.54,0.502,0.151,2.4,7.6,5.2,9,1.4,1.1,12.1,11.9,0.6,1.2,1.7,0.077,-1.6,-0.1,-1.7,0.1,106,245,0.433,41,123,0.333,65,122,0.533,0.516,29,37,0.784,22,79,101,77,32,15,36,62,282,3883,201,83,"University of Nevada, Las Vegas",1995,"St. Louis","Missouri",427,"GSW",1312611,FALSE
"430","Paul Zipser",24689,2017,"SF",22,"CHI",44,18,843,6.9,0.503,0.448,0.181,1.9,14.2,8,6.1,0.9,1.5,14.4,14.4,-0.3,0.8,0.5,0.03,-3.6,-0.1,-3.7,-0.4,88,221,0.398,33,99,0.333,55,122,0.451,0.473,31,40,0.775,15,110,125,36,15,16,40,78,240,3920,203,97,"",1994,"Heidelberg","Germany",432,"CHI",1312611,TRUE
"431","Rodney McGruder",24455,2017,"SG",25,"MIA",78,65,1966,9.1,0.506,0.478,0.154,5.3,9.2,7.2,8.8,1.2,0.7,10.2,12.3,1.2,1.7,2.9,0.072,-0.8,0.5,-0.4,0.8,190,460,0.413,73,220,0.332,117,240,0.488,0.492,44,71,0.62,95,162,257,124,45,18,56,140,497,3885,193,92,"Kansas State University",1991,"Landover","Maryland",424,"MIA",1312611,TRUE
"432","Skal Labissiere",24402,2017,"PF",20,"SAC",33,12,612,16.8,0.577,0.037,0.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,0.7,0.5,1.3,0.099,-1.7,-0.9,-2.6,-0.1,117,218,0.537,3,8,0.375,114,210,0.543,0.544,52,74,0.703,51,111,162,27,16,13,37,64,289,3876,211,102,"University of Kentucky",1996,"Port-Au-Prince","Haiti",410,"SAC",1312611,FALSE
"433","Treveon Graham",24292,2017,"SG",23,"CHO",27,1,189,10.6,0.612,0.375,0.375,2.9,10,6.4,4.7,1.6,0.5,6,11.8,0.3,0.2,0.4,0.108,-1.5,-1.3,-2.8,0,19,40,0.475,9,15,0.6,10,25,0.4,0.588,10,15,0.667,5,17,22,6,6,1,3,18,57,3862,198,99,"Virginia Commonwealth University",1993,"Washington","District of Columbia",430,"CHO",1312611,TRUE
"434","Tyler Ulis",24632,2017,"PG",21,"PHO",61,15,1123,13,0.474,0.181,0.162,1.9,7.5,4.6,30.5,2,0.4,14.1,20.3,0.3,0.4,0.7,0.029,-1.4,-2.5,-4,-0.6,184,437,0.421,21,79,0.266,163,358,0.455,0.445,55,71,0.775,20,75,95,226,48,5,77,73,444,3910,178,68,"University of Kentucky",1996,"Detroit","Michigan",421,"PHO",1312611,FALSE
"435","Wayne Selden",24579,2017,"SG",22,"TOT",14,5,236,6.9,0.525,0.483,0.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3,-0.1,0.2,0.1,0.017,-3.4,-1.6,-5,-0.2,25,58,0.431,7,28,0.25,18,30,0.6,0.491,14,22,0.636,1,15,16,13,6,1,12,18,71,3904,196,104,"University of Kansas",1994,"Roxbury","Massachusetts",415,"MEM",1312611,FALSE
"436","Wayne Selden",24580,2017,"SG",22,"NOP",3,3,47,10,0.82,0.875,0.5,0,11.3,5.6,3,2.1,0,23.5,12,0,0,0.1,0.089,-0.5,-0.7,-1.2,0,5,8,0.625,4,7,0.571,1,1,1,0.875,2,4,0.5,0,5,5,1,2,0,3,6,16,3904,196,104,"University of Kansas",1994,"Roxbury","Massachusetts",415,"MEM",1312611,FALSE
"437","Wayne Selden",24581,2017,"SG",22,"MEM",11,2,189,6.2,0.475,0.42,0.36,0.6,6.2,3.3,9.9,1.1,0.5,13.4,16.1,-0.1,0.1,0,-0.001,-4.1,-1.8,-6,-0.2,20,50,0.4,3,21,0.143,17,29,0.586,0.43,12,18,0.667,1,10,11,12,4,1,9,12,55,3904,196,104,"University of Kansas",1994,"Roxbury","Massachusetts",415,"MEM",1312611,FALSE
"438","Yogi Ferrell",24259,2017,"PG",23,"TOT",46,29,1197,13.1,0.533,0.447,0.226,1.8,9.2,5.3,23.2,1.8,0.7,13.9,19.6,0.8,1,1.8,0.072,-0.1,-0.7,-0.7,0.4,160,394,0.406,68,176,0.386,92,218,0.422,0.492,74,89,0.831,20,91,111,172,42,9,70,90,462,3855,183,81,"Indiana University",1993,"Indianapolis","Indiana",429,"DAL",1312611,FALSE
"439","Yogi Ferrell",24260,2017,"PG",23,"BRK",10,0,151,6.5,0.482,0.551,0.327,2.8,5.5,4.2,16.9,0.6,1,20,19.9,-0.2,0,-0.2,-0.05,-4,-3.3,-7.3,-0.2,18,49,0.367,8,27,0.296,10,22,0.455,0.449,10,16,0.625,4,8,12,17,2,2,14,11,54,3855,183,81,"Indiana University",1993,"Indianapolis","Indiana",429,"DAL",1312611,TRUE
"440","Yogi Ferrell",24261,2017,"PG",23,"DAL",36,29,1046,14.1,0.541,0.432,0.212,1.7,9.7,5.5,24.1,2,0.6,12.9,19.5,1,0.9,2,0.09,0.5,-0.3,0.2,0.6,142,345,0.412,60,149,0.403,82,196,0.418,0.499,64,73,0.877,16,83,99,155,40,7,56,79,408,3855,183,81,"Indiana University",1993,"Indianapolis","Indiana",429,"DAL",1312611,FALSE
"441","Paul Pierce",24529,2017,"SF",39,"LAC",25,7,277,5.7,0.535,0.614,0.186,0.4,18.5,9.7,5,0.7,1.5,17.4,14.8,-0.2,0.3,0.1,0.015,-3.9,-0.5,-4.4,-0.2,28,70,0.4,15,43,0.349,13,27,0.481,0.507,10,13,0.769,1,47,48,10,4,5,16,40,81,2630,201,106,"University of Kansas",1977,"Oakland","California",448,"LAC",1096080,FALSE
"442","Isaiah Canaan",24181,2017,"SG",25,"CHI",39,0,592,8.1,0.483,0.543,0.191,1.1,7.9,4.5,9,1.9,0.1,9.6,15.3,0,0.5,0.5,0.044,-2.2,-1.2,-3.4,-0.2,63,173,0.364,25,94,0.266,38,79,0.481,0.436,30,33,0.909,6,43,49,37,22,1,20,35,181,3619,183,91,"Murray State University",1991,"Biloxi","Mississippi",449,"PHO",1069308,TRUE
"443","Gerald Henderson",24322,2017,"SG",29,"PHI",72,41,1667,10.8,0.529,0.313,0.298,2.2,10,6.1,10.5,1.2,0.7,9,17.9,1,1,2.1,0.059,-1.8,-1.2,-3.1,-0.5,234,553,0.423,61,173,0.353,173,380,0.455,0.478,133,165,0.806,34,151,185,112,41,15,62,129,662,1359,188,79,"Virginia Commonwealth University",1956,"Richmond","Virginia",453,"PHI",1e+06,TRUE
"444","Justin Hamilton",24303,2017,"C",26,"BRK",64,7,1177,13.6,0.55,0.478,0.137,6.5,17,11.8,7.3,1.2,2.8,9.7,16.2,1,1,2.1,0.084,-0.9,0.2,-0.8,0.4,174,379,0.459,55,181,0.304,119,198,0.601,0.532,39,52,0.75,71,191,262,55,29,43,43,91,442,3639,213,117,"Louisiana State University",1990,"Newport Beach","California",452,"TOR",1e+06,TRUE
"445","Gerald Green",24299,2017,"SF",31,"BOS",47,0,538,12,0.524,0.478,0.177,3.6,13.9,8.8,9.8,0.8,1.1,9.1,22.7,0.1,0.4,0.6,0.051,-1.9,-2.7,-4.7,-0.4,95,232,0.409,39,111,0.351,56,121,0.463,0.494,33,41,0.805,17,68,85,33,9,7,25,48,262,3071,201,92,"",1986,"Houston","Texas",457,"HOU",947248,TRUE
"446","Sean Kilpatrick",24395,2017,"SG",27,"BRK",70,24,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.9,23.9,0.3,1.1,1.4,0.039,-1.2,-1.8,-3,-0.4,305,735,0.415,105,308,0.341,200,427,0.468,0.486,204,242,0.843,22,258,280,157,46,6,136,118,919,3721,193,95,"University of Cincinnati",1990,"Yonkers","New York",478,"MIL",789725,TRUE
"447","Trey Burke",24173,2017,"PG",24,"WAS",57,0,703,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,0.036,-2.3,-3.4,-5.7,-0.7,116,255,0.455,31,70,0.443,85,185,0.459,0.516,22,29,0.759,7,40,47,100,11,5,48,54,285,3615,185,86,"University of Michigan",1992,"Columbus","Ohio",479,"NYK",784160,TRUE
"448","Alex Poythress",24543,2017,"PF",23,"PHI",6,1,157,13.2,0.548,0.352,0.185,7.7,12.7,10.2,5.1,0.9,1,4.9,16.9,0.2,0.1,0.3,0.099,-0.6,-1.9,-2.5,0,25,54,0.463,6,19,0.316,19,35,0.543,0.519,8,10,0.8,11,18,29,5,3,2,3,14,64,3897,201,107,"University of Kentucky",1993,"Savannah","Georgia",480,"IND",778668,TRUE
"449","Marco Belinelli",24140,2017,"SG",30,"CHO",74,0,1778,13.3,0.566,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2,1.2,3.2,0.088,0.1,-2,-1.9,0.1,264,615,0.429,102,283,0.36,162,332,0.488,0.512,150,168,0.893,14,164,178,147,44,9,70,90,780,3209,196,95,"",1986,"Bologna","Italy",481,"PHI",776217,TRUE
"450","Joe Johnson",24376,2017,"SF",35,"UTA",78,14,1843,12.8,0.542,0.412,0.123,2.1,12.7,7.6,12.6,1,0.8,9.5,18.5,1.7,2.1,3.8,0.099,-0.1,-0.1,-0.2,0.8,273,626,0.436,106,258,0.411,167,368,0.454,0.521,63,77,0.818,33,209,242,144,36,18,69,93,715,2817,201,90,"University of Iowa",1947,"Carthage","Mississippi",482,"HOU",749905,FALSE
"451","Ersan Ilyasova",24354,2017,"PF",29,"TOT",82,52,2142,14.6,0.546,0.452,0.233,5.9,18.8,12.4,11,1.3,0.9,10.6,22.2,1.8,2.3,4.1,0.091,0.3,-0.8,-0.5,0.8,384,890,0.431,142,402,0.353,242,488,0.496,0.511,161,207,0.778,115,366,481,141,58,23,116,211,1071,3162,208,106,"",1987,"Eskisehir","Turkey",488,"PHI",502328,FALSE
"452","Ersan Ilyasova",24357,2017,"PF",29,"ATL",26,12,633,13.5,0.53,0.407,0.288,7.4,18.7,13.1,10.6,1.7,1.1,11.8,19.9,0.5,0.9,1.4,0.106,-0.6,0.5,-0.2,0.3,93,226,0.412,32,92,0.348,61,134,0.455,0.482,52,65,0.8,42,109,151,43,22,8,34,73,270,3162,208,106,"",1987,"Eskisehir","Turkey",488,"PHI",502328,TRUE
"453","Ersan Ilyasova",24356,2017,"PF",29,"PHI",53,40,1447,15.4,0.553,0.46,0.219,5.4,18.5,12,11.5,1.1,0.8,9.9,23.6,1.4,1.3,2.6,0.087,0.9,-1.3,-0.4,0.6,285,648,0.44,107,298,0.359,178,350,0.509,0.522,109,142,0.768,71,243,314,97,33,14,78,133,786,3162,208,106,"",1987,"Eskisehir","Turkey",488,"PHI",502328,TRUE
"454","Leandro Barbosa",24125,2017,"SG",34,"PHO",67,0,963,11.5,0.509,0.25,0.115,1.6,10.3,5.9,13,1.5,0.7,10.4,20,0.3,0.4,0.6,0.031,-2,-2.1,-4.1,-0.5,172,392,0.439,35,98,0.357,137,294,0.466,0.483,40,45,0.889,15,89,104,81,31,8,48,82,419,2909,190,87,"",1982,"San Paulo","Brazil",489,"PHO",5e+05,FALSE
"455","Michael Gbinije",24276,2017,"SG",24,"DET",9,0,32,-2.1,0.184,0.4,0.2,6.6,3.5,5.1,7.9,0,0,0,15,-0.1,0,-0.1,-0.136,-7.7,-2.8,-10.4,-0.1,1,10,0.1,0,4,0,1,6,0.167,0.1,2,2,1,2,1,3,2,0,0,0,2,4,3859,201,90,"Syracuse University",1992,"Hartford","Connecticut",491,"DET",5e+05,TRUE
"456","C.J. Watson",24649,2017,"PG",32,"ORL",62,9,1012,9.3,0.507,0.423,0.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1,0.2,0.6,0.9,0.041,-2.5,-1.1,-3.6,-0.4,96,248,0.387,32,105,0.305,64,143,0.448,0.452,57,66,0.864,16,73,89,114,43,2,47,84,281,3260,211,117,"",1984,"","",494,"ORL",333334,TRUE
"457","Ramon Sessions",24583,2017,"PG",30,"CHO",50,1,811,12.3,0.495,0.236,0.449,1.5,8.5,4.9,24.2,1.6,0.3,12.7,20.1,0.3,0.6,0.9,0.054,-2.4,-2.3,-4.8,-0.6,100,263,0.38,21,62,0.339,79,201,0.393,0.42,91,118,0.771,11,62,73,129,26,3,46,43,312,3251,190,86,"University of Nevada, Reno",1986,"Myrtle Beach","South Carolina",498,"WAS",263124,TRUE
"458","Jordan Crawford",24212,2017,"SG",28,"NOP",19,0,442,17.6,0.582,0.436,0.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,0.6,0.3,0.9,0.102,2.6,-3,-0.4,0.2,105,218,0.482,37,95,0.389,68,123,0.553,0.567,20,26,0.769,4,30,34,57,11,2,25,30,267,3400,196,95,"University of Kentucky",1986,"Detroit","Michigan",499,"NOP",250000,FALSE
"459","Wade Baldwin",24124,2017,"PG",20,"MEM",33,1,405,6.4,0.404,0.191,0.322,3,10.2,6.5,22.8,2.3,1.7,23.4,19.2,-0.9,0.5,-0.4,-0.045,-6.3,0.6,-5.8,-0.4,36,115,0.313,3,22,0.136,33,93,0.355,0.326,31,37,0.838,11,35,46,61,18,7,40,40,106,3835,193,91,"Vanderbilt University",1996,"Belle Mead","New Jersey",501,"POR",222476,FALSE
"460","Isaiah Canaan",24181,2017,"SG",25,"CHI",39,0,592,8.1,0.483,0.543,0.191,1.1,7.9,4.5,9,1.9,0.1,9.6,15.3,0,0.5,0.5,0.044,-2.2,-1.2,-3.4,-0.2,63,173,0.364,25,94,0.266,38,79,0.481,0.436,30,33,0.909,6,43,49,37,22,1,20,35,181,3619,183,91,"Murray State University",1991,"Biloxi","Mississippi",502,"CHI",2e+05,TRUE
