"","Player","X.x","Year","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X.y","height","weight","collage","born","birth_city","birth_state","X","Team","Salary","conference"
"365","Jerami Grant",24293,2017,"SF",22,"TOT",80,4,1531,10.1,0.556,0.354,0.448,2.7,12.2,7.4,4.2,1.1,4.1,10.1,12.1,1.1,1.8,2.9,0.091,-3,0.9,-2.1,0,152,328,0.463,43,116,0.371,109,212,0.514,0.529,90,147,0.612,38,168,206,46,33,79,44,149,437,3709,203,95,"Syracuse University",1994,"Portland","Oregon",366,"OKC",1524305,FALSE
"366","Jerami Grant",24295,2017,"SF",22,"OKC",78,4,1490,10.3,0.566,0.367,0.447,2.8,12,7.4,4.3,1.1,4,9.9,11.8,1.3,1.7,3,0.098,-2.7,1,-1.7,0.1,146,311,0.469,43,114,0.377,103,197,0.523,0.539,86,139,0.619,38,161,199,46,33,75,41,144,421,3709,203,95,"Syracuse University",1994,"Portland","Oregon",366,"OKC",1524305,FALSE
"367","Jerami Grant",24294,2017,"SF",22,"PHI",2,0,41,3.3,0.39,0.118,0.471,0,18.9,9.4,0,0,7.7,12.8,24.9,-0.2,0,-0.1,-0.14,-14,-2.6,-16.6,-0.2,6,17,0.353,0,2,0,6,15,0.4,0.353,4,8,0.5,0,7,7,0,0,4,3,5,16,3709,203,95,"Syracuse University",1994,"Portland","Oregon",366,"OKC",1524305,TRUE
"368","Joe Harris",24312,2017,"SG",25,"BRK",52,11,1138,9,0.558,0.61,0.135,1.5,12,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,0.032,-1.4,-1.5,-3,-0.3,154,362,0.425,85,221,0.385,69,141,0.489,0.543,35,49,0.714,16,131,147,54,30,8,55,121,428,3714,198,99,"University of Virginia",1991,"Chelan","Washington",371,"BRK",1524305,TRUE
"369","Joffrey Lauvergne",24407,2017,"C",25,"CHI",20,1,241,11.6,0.451,0.217,0.163,9.3,21.2,15.2,12.2,1.5,0,14,20.8,-0.2,0.3,0.1,0.025,-3.5,-0.6,-4.1,-0.1,37,92,0.402,6,20,0.3,31,72,0.431,0.435,9,15,0.6,21,47,68,19,7,0,16,12,89,3723,211,99,"",1991,"Mulhouse","France",365,"SAS",1524305,TRUE
"370","Joffrey Lauvergne",24406,2017,"PF",25,"OKC",50,0,739,12.9,0.531,0.32,0.238,7.6,19.8,13.7,10.3,1.2,0.6,12.9,17.8,0.6,0.8,1.4,0.091,-1.9,-1,-2.9,-0.2,111,244,0.455,27,78,0.346,84,166,0.506,0.51,37,58,0.638,51,132,183,51,18,6,40,71,286,3723,211,99,"",1991,"Mulhouse","France",365,"SAS",1524305,FALSE
"371","Johnny O'Bryant",24505,2017,"PF",23,"DEN",7,0,46,14.4,0.597,0.2,0.267,12.1,14.3,13.2,6.2,0,1.7,15.2,18.3,0.1,0,0.1,0.096,-0.8,-3.2,-4,0,7,15,0.467,2,3,0.667,5,12,0.417,0.533,4,4,1,5,6,11,2,0,1,3,4,20,3739,206,116,"Louisiana State University",1993,"Cleveland","Mississippi",367,"NYK",1524305,FALSE
"372","Johnny O'Bryant",24506,2017,"PF",23,"CHO",4,0,34,15.5,0.567,0.2,0.133,12.9,13,12.9,21.6,0,0,15.9,25,0,0,0.1,0.078,0.7,-3.1,-2.3,0,8,15,0.533,1,3,0.333,7,12,0.583,0.567,1,2,0.5,4,4,8,4,0,0,3,6,18,3739,206,116,"Louisiana State University",1993,"Cleveland","Mississippi",367,"NYK",1524305,TRUE
"373","Johnny O'Bryant",24504,2017,"PF",23,"TOT",11,0,80,14.9,0.582,0.2,0.2,12.4,13.7,13.1,12.7,0,1,15.5,21.1,0.1,0,0.1,0.088,-0.2,-3.1,-3.3,0,15,30,0.5,3,6,0.5,12,24,0.5,0.55,5,6,0.833,9,10,19,6,0,1,6,10,38,3739,206,116,"Louisiana State University",1993,"Cleveland","Mississippi",367,"NYK",1524305,FALSE
"374","Sean Kilpatrick",24395,2017,"SG",27,"BRK",70,24,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.9,23.9,0.3,1.1,1.4,0.039,-1.2,-1.8,-3,-0.4,305,735,0.415,105,308,0.341,200,427,0.468,0.486,204,242,0.843,22,258,280,157,46,6,136,118,919,3721,193,95,"University of Cincinnati",1990,"Yonkers","New York",370,"BRK",1524305,TRUE
"375","Spencer Dinwiddie",24230,2017,"PG",23,"BRK",59,18,1334,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,0.101,-0.7,-0.2,-0.9,0.4,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432,3699,198,90,"University of Colorado",1993,"Los Angeles","California",372,"BRK",1524305,TRUE
"376","Tyler Ennis",24246,2017,"PG",22,"TOT",53,2,588,11,0.521,0.337,0.12,1.8,6.8,4.3,21.7,2.1,0.3,17,19.1,0.1,0.3,0.4,0.033,-2.1,-2.7,-4.7,-0.4,90,208,0.433,27,70,0.386,63,138,0.457,0.498,21,25,0.84,10,36,46,86,26,2,45,58,228,3703,190,87,"Syracuse University",1994,"Brampton","Canada",368,"LAL",1524305,FALSE
